symbol,entry_time,exit_time,entry,exit,side,qty,pnl,r_multiple,exit_reason,equity_after
SOL/USDT,1745423100,1745424000,151.41,150.76,long,4.18535127055308,-2.720478325859526,-0.27204783258595255,ema_fast_break,997.2795216741405
SOL/USDT,1745439300,1745443800,150.89,150.46,long,7.170987829192535,-3.0835247665526353,-0.30919363122751176,ema_fast_break,994.1959969075879
